PHY_IDENT,HabClass,BC_CLASS,EXP_BIO,SHORETYPE,ESI,ORI,TRSH,DUGR,SPZO,BLLI,WHLI,YELI,BARN,BLMU,GRAL,BRAL,SURF,EELG,SOBK,ROCK,DRKE,BUKE,CMECS_1,CMECS_2,LENGTH_M,Slope_calc,SHORE_PROB,LOST_SHORE,Wave_Dissipation,Orient_dir,Tidal_height,CVI_Rank,REAL,ALAR,DABK
04/01/0009/A,40,6,SP,6,5,4,NA,NA,M,M,NA,NA,P,NA,NA,NA,NA,NA,C,P,NA,NA,S1.2.1.2.1,NA,227.789,16,NA,NA,Plunging,W,7.4,Low,NA,NA,NA
04/01/0010/A,42,1,SP,1,1A,2,NA,NA,NA,M,NA,NA,C,C,NA,NA,NA,NA,C,C,NA,P,S1.1,NA,112.042,68,NA,NA,Surging,N,7.4,Low,NA,NA,NA
04/01/0011/A,40,1,SP,1,2A,2,NA,NA,NA,M,NA,NA,C,C,NA,NA,NA,NA,C,C,C,NA,S1.1,NA,59.604,32,NA,NA,Collapsing,NW,7.4,Low,NA,NA,NA
04/01/0012/A,40,3,SP,3,5,3,NA,NA,NA,M,NA,NA,C,P,NA,NA,NA,NA,C,C,C,NA,S1.1,S1.2.1.2.1,241.904,20,NA,NA,Plunging,W,7.4,Low,NA,NA,NA
04/01/0013/A,40,3,SP,3,5,3,NA,NA,NA,M,NA,NA,P,P,P,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,180.147,20,NA,NA,Plunging,NW,7.4,Low,NA,NA,NA
04/01/0014/A,40,3,SP,3,6B,3,NA,NA,NA,M,NA,NA,P,P,NA,NA,NA,NA,C,C,P,NA,S1.1,S1.2.1.2.1,754.833,37,NA,NA,Surging,N,7.4,Low,NA,NA,NA
04/01/0014/B,40,2,SP,2,1C,5,NA,NA,NA,M,NA,NA,C,C,NA,NA,NA,NA,C,C,C,NA,S1.1,S1.2.1.1,199.581,37,NA,NA,Surging,W,7.4,Low,NA,NA,NA
04/01/0015/A,42,6,SP,6,5,3,NA,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,NA,C,NA,S1.2.1.2.1,NA,177.325,15,NA,NA,Plunging,SW,7.4,Low,NA,NA,NA
04/01/0016/A,40,6,SP,6,5,3,NA,NA,NA,M,NA,NA,P,NA,C,NA,NA,NA,C,C,P,NA,S1.2.1.2.1,NA,862.973,19,NA,NA,Plunging,NW,7.4,Low,NA,NA,NA
04/01/0017/A,30,1,SE,1,1A,1,NA,NA,NA,M,NA,NA,C,P,NA,NA,NA,NA,C,C,P,NA,S1.1,NA,137.613,68,NA,NA,Surging,W,7.4,Low,NA,NA,NA
04/01/0018/A,30,2,SE,2,6B,3,NA,NA,NA,M,NA,NA,C,C,P,NA,NA,NA,C,C,P,NA,S1.1,S1.2.1.1,117.61,25,NA,NA,Collapsing,W,7.4,Low,NA,NA,NA
04/01/0018/B,30,6,SE,6,5,3,NA,NA,NA,M,NA,NA,P,NA,P,NA,NA,NA,C,NA,C,NA,S1.2.1.2.1,NA,226.186,20,NA,NA,Plunging,W,7.4,Low,NA,NA,NA
04/01/0019/A,30,1,SE,1,1A,1,NA,NA,NA,M,NA,NA,C,P,NA,NA,NA,NA,C,C,C,NA,S1.1,NA,163.907,47,NA,NA,Surging,SW,7.4,Low,NA,NA,NA
04/01/0020/A,30,2,SE,2,6B,4,NA,NA,NA,M,NA,NA,P,P,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.1,108.098,28,NA,NA,Plunging,S,7.4,Low,NA,NA,NA
04/01/0021/A,32,6,SE,6,5,3,NA,NA,NA,M,NA,NA,NA,NA,P,NA,NA,NA,C,NA,NA,NA,S1.2.1.2.1,NA,239.107,15,NA,NA,Plunging,W,7.4,Low,NA,NA,NA
04/01/0022/A,30,3,SE,3,8D,3,NA,NA,NA,M,NA,NA,P,NA,C,NA,NA,NA,C,C,P,NA,S1.1,S1.2.1.2.1,626.029,15,NA,NA,Plunging,SW,7.4,Low,NA,NA,NA
04/01/0022/B,30,6,SE,6,7,3,NA,P,NA,M,NA,NA,P,NA,C,NA,NA,NA,C,C,P,NA,S1.2.1.2.1,NA,580.517,6,NA,NA,Plunging,SW,7.4,Low,NA,NA,NA
04/01/0022/C,30,6,SE,6,5,5,NA,NA,NA,M,NA,NA,C,NA,C,NA,NA,NA,C,C,NA,NA,S1.2.1.2.1,NA,326.921,16,NA,NA,Plunging,S,7.4,Low,NA,NA,NA
04/01/0023/A,30,2,SE,2,6B,3,NA,NA,NA,M,NA,NA,C,NA,NA,NA,NA,NA,C,C,P,NA,S1.1,S1.2.1.1,574.949,19,NA,NA,Plunging,SW,7.4,Low,NA,NA,NA
04/01/0024/A,32,6,SE,6,9A,5,NA,C,NA,NA,NA,NA,P,NA,P,NA,NA,NA,C,P,NA,NA,S1.2.1.2.1,NA,282.66,8,NA,NA,Plunging,SW,7.4,Low,NA,NA,NA
04/01/0025/A,30,6,SE,6,5,5,NA,C,NA,NA,NA,NA,P,NA,C,NA,NA,NA,C,P,NA,NA,S1.2.1.2.1,NA,164.877,15,NA,NA,Plunging,SW,7.4,Low,NA,NA,NA
04/01/0025/B,30,3,SE,3,8A,5,NA,NA,NA,M,NA,NA,C,NA,NA,NA,NA,NA,C,C,C,P,S1.1,S1.2.1.2.1,221.139,20,NA,NA,Plunging,S,7.4,Low,NA,NA,NA
04/01/0026/A,32,6,SE,6,5,5,NA,C,NA,NA,NA,NA,NA,NA,P,NA,NA,NA,P,NA,NA,NA,S1.2.1.2.1,NA,846.559,11,NA,NA,Plunging,SE,7.4,Low,NA,NA,NA
04/01/0027/A,40,6,SP,6,5,5,NA,NA,N,N,NA,NA,NA,NA,C,NA,NA,NA,C,NA,NA,NA,S1.2.1.2.1,NA,758.813,14,NA,NA,Plunging,E,7.4,Low,NA,NA,NA
04/01/0028/A,40,6,SP,6,5,5,NA,NA,NA,M,NA,NA,C,NA,P,NA,NA,NA,C,C,NA,NA,S1.2.1.2.1,NA,747.313,16,NA,NA,Plunging,E,7.4,Low,NA,NA,NA
04/01/0029/A,40,3,SP,3,8A,5,NA,NA,NA,N,NA,NA,C,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,141.293,26,NA,NA,Plunging,NE,7.4,Low,NA,NA,NA
04/01/0030/A,40,3,SP,3,6B,5,NA,NA,NA,M,NA,NA,C,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,282.681,16,NA,NA,Plunging,N,7.4,Low,NA,NA,NA
04/01/0031/A,30,3,SE,3,6B,4,NA,NA,NA,M,NA,NA,C,NA,P,NA,NA,NA,C,C,NA,P,S1.1,S1.2.1.2.1,334.767,16,NA,NA,Plunging,N,7.4,Low,NA,NA,NA
04/01/0032/A,32,6,SE,6,5,3,NA,C,NA,M,NA,NA,NA,NA,P,NA,NA,NA,C,P,C,NA,S1.2.1.2.1,NA,254.142,12,NA,NA,Plunging,W,7.4,Low,NA,NA,NA
04/01/0033/A,40,3,SP,3,5,3,NA,NA,NA,M,NA,NA,C,P,NA,NA,NA,NA,C,C,P,NA,S1.1,S1.2.1.2.1,237.064,19,NA,NA,Plunging,W,7.4,Low,NA,NA,NA
04/01/0034/A,40,3,SP,3,8A,3,NA,NA,NA,M,NA,NA,C,NA,NA,NA,NA,NA,C,C,NA,P,S1.1,S1.2.1.2.1,208.304,22,NA,NA,Plunging,W,7.4,Low,NA,NA,NA
04/01/0035/A,40,2,SP,2,6B,4,NA,NA,NA,M,NA,NA,C,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.1,224.099,32,NA,NA,Plunging,S,7.4,Low,NA,NA,NA
04/01/0036/A,42,6,SP,6,5,5,NA,P,M,M,NA,NA,P,NA,P,NA,NA,NA,C,P,NA,NA,S1.2.1.2.1,NA,791.197,15,NA,NA,Plunging,S,7.4,Low,NA,NA,NA
04/01/0037/A,41,6,SP,6,5,4,NA,C,N,NA,NA,NA,NA,NA,P,NA,NA,NA,C,P,NA,P,S1.2.1.2.1,NA,171.968,13,NA,NA,Plunging,S,7.4,Low,NA,NA,NA
04/01/0038/A,42,3,SP,3,8A,5,NA,NA,NA,M,NA,NA,P,NA,P,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,495.549,17,NA,NA,Plunging,S,7.4,Low,NA,NA,NA
04/01/0039/A,42,6,SP,6,5,5,NA,NA,NA,N,NA,NA,P,NA,NA,NA,NA,NA,C,NA,NA,NA,S1.2.1.2.1,NA,30.577,17,NA,NA,Plunging,S,7.4,Low,NA,NA,NA
04/01/0040/A,42,6,SP,6,5,4,NA,C,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,NA,NA,NA,S1.2.1.2.1,NA,316.284,12,NA,NA,Plunging,SE,7.4,Low,NA,NA,NA
04/01/0041/A,40,3,SP,3,8A,5,NA,NA,NA,M,NA,NA,P,NA,P,NA,NA,NA,C,C,NA,P,S1.1,S1.2.1.2.1,224.26,16,NA,NA,Plunging,NE,7.4,Low,NA,NA,NA
04/01/0042/A,41,6,SP,6,5,4,NA,C,NA,NA,NA,NA,P,NA,NA,NA,NA,NA,C,P,NA,NA,S1.2.1.2.1,NA,259.284,15,NA,NA,Plunging,NW,7.4,Low,NA,NA,NA
04/01/0043/A,40,3,SP,3,8A,5,NA,NA,NA,M,NA,NA,P,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,233.592,15,NA,NA,Plunging,N,7.4,Low,NA,NA,NA
04/01/0044/A,42,6,SP,6,5,5,NA,C,NA,NA,NA,NA,P,NA,C,NA,NA,NA,C,C,NA,NA,S1.2.1.2.1,NA,81.161,15,NA,NA,Plunging,N,7.4,Low,NA,NA,NA
04/01/0045/A,40,3,SP,3,8A,5,NA,NA,NA,M,NA,NA,NA,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,368.603,15,NA,NA,Plunging,NE,7.4,Low,NA,NA,NA
04/01/0046/A,42,6,SP,6,5,5,NA,P,M,NA,NA,NA,P,NA,NA,NA,NA,NA,C,P,NA,NA,S1.2.1.2.1,NA,213.833,13,NA,NA,Plunging,N,7.4,Low,NA,NA,NA
04/01/0047/A,40,3,SP,3,5,4,NA,NA,NA,M,NA,NA,P,NA,C,NA,NA,NA,C,C,NA,P,S1.1,S1.2.1.2.1,831.447,22,NA,NA,Plunging,N,7.4,Low,NA,NA,NA
04/01/0048/A,42,6,SP,6,5,4,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,NA,NA,NA,S1.2.1.2.1,NA,223.866,12,NA,NA,Plunging,NW,7.4,Low,NA,NA,NA
04/01/0049/A,40,1,SP,1,1A,2,NA,NA,NA,M,NA,NA,C,C,NA,NA,NA,NA,C,C,NA,P,S1.1,NA,348.509,51,NA,NA,Surging,N,7.4,Low,NA,NA,NA
04/01/0050/A,40,3,SP,3,8D,5,NA,NA,NA,M,NA,NA,C,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,163.011,12,NA,NA,Plunging,SE,7.4,Low,NA,NA,NA
04/01/0051/A,30,1,SE,1,1A,2,NA,NA,NA,M,NA,NA,C,NA,C,NA,NA,NA,C,C,NA,P,S1.1,NA,228.857,51,NA,NA,Surging,NW,7.4,Low,NA,NA,NA
04/01/0052/A,40,5,SP,5,8C,5,NA,NA,NA,M,NA,NA,C,NA,C,NA,NA,NA,C,C,NA,NA,S1.2.1.1,NA,233.256,34,NA,NA,Collapsing,N,6,Low,NA,NA,NA
04/01/0052/B,40,5,SP,5,1B,5,NA,C,NA,NA,NA,NA,C,NA,C,NA,NA,NA,C,C,NA,NA,S1.2.1.1,NA,245.154,27,NA,NA,Collapsing,NW,6,Moderate,NA,NA,NA
04/01/0052/C,40,2,SP,2,1C,4,NA,NA,NA,M,NA,NA,C,NA,P,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.1,43.577,17,NA,NA,Plunging,W,6,Low,NA,NA,NA
04/01/0052/D,40,5,SP,5,6B,4,NA,C,M,NA,NA,NA,C,NA,C,NA,NA,NA,C,C,NA,NA,S1.2.1.1,NA,221.631,12,NA,NA,Plunging,SW,6,Moderate,NA,NA,NA
04/01/0053/A,42,6,SP,6,5,4,NA,C,NA,NA,NA,NA,NA,NA,C,NA,NA,NA,C,C,NA,NA,S1.2.1.2.1,NA,54.651,6,NA,NA,Plunging,SW,6,Moderate,NA,NA,NA
04/01/0053/B,42,6,SP,6,5,4,NA,C,NA,NA,NA,NA,NA,NA,P,NA,NA,NA,C,NA,NA,NA,S1.2.1.2.1,NA,169.05,6,NA,NA,Plunging,W,6,Moderate,NA,NA,NA
04/01/0054/A,40,2,SP,2,1C,4,NA,NA,NA,N,NA,NA,C,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.1,232.363,15,NA,NA,Plunging,NW,6,Low,NA,NA,NA
04/01/0055/A,41,3,SP,3,5,4,NA,C,NA,M,NA,NA,P,NA,C,NA,NA,NA,C,P,NA,NA,S1.1,S1.2.1.2.1,63.162,6,NA,NA,Plunging,W,6,Low,NA,NA,NA
04/01/0056/A,40,2,SP,2,2A,4,NA,NA,NA,M,NA,NA,C,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.1,46.671,7,NA,NA,Plunging,NW,6,Low,NA,NA,NA
04/01/0056/B,40,2,SP,2,2A,4,NA,NA,NA,M,NA,NA,C,P,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.1,108.291,10,NA,NA,Plunging,SW,6,Low,NA,NA,NA
04/01/0057/A,40,1,SP,1,1A,2,NA,NA,NA,M,NA,NA,C,P,NA,NA,NA,NA,C,C,NA,NA,S1.1,NA,257.457,56,NA,NA,Surging,SW,6,Low,NA,NA,NA
04/01/0057/B,40,2,SP,2,8D,4,NA,NA,NA,M,NA,NA,P,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.1,91.185,17,NA,NA,Plunging,S,6,Low,NA,NA,NA
04/01/0058/A,40,5,SP,5,6B,4,NA,NA,NA,M,NA,NA,C,NA,C,NA,NA,NA,C,C,NA,NA,S1.2.1.1,NA,69.8,10,NA,NA,Plunging,SW,6,Low,NA,NA,NA
04/01/0059/A,42,6,SP,6,5,5,NA,P,NA,N,NA,NA,P,NA,NA,NA,NA,NA,C,NA,NA,NA,S1.2.1.2.1,NA,99.356,6,NA,NA,Plunging,W,6,Low,NA,NA,NA
04/01/0060/A,40,3,SP,3,8D,5,NA,NA,NA,M,NA,NA,C,P,P,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,71.816,15,NA,NA,Plunging,W,6,Low,NA,NA,NA
04/01/0060/B,40,1,SP,1,8A,3,NA,NA,NA,N,NA,NA,C,P,P,NA,NA,NA,C,C,NA,NA,S1.1,NA,102.268,56,NA,NA,Surging,S,6,Low,NA,NA,NA
04/01/0061/A,40,2,SP,2,8D,4,NA,NA,NA,M,NA,NA,C,NA,P,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.1,172.845,31,NA,NA,Collapsing,SW,6,Low,NA,NA,NA
04/01/0061/B,40,5,SP,5,8D,4,NA,NA,N,N,NA,NA,P,NA,C,NA,NA,NA,C,C,NA,NA,S1.2.1.1,NA,160.198,22,NA,NA,Plunging,SW,6,Low,NA,NA,NA
04/01/0061/C,40,6,SP,6,8D,4,NA,NA,NA,N,NA,NA,C,NA,C,NA,NA,NA,C,C,NA,NA,S1.2.1.2.1,NA,162.57,15,NA,NA,Plunging,W,6,Low,NA,NA,NA
04/01/0062/A,42,6,SP,6,8D,4,NA,NA,NA,N,NA,NA,C,NA,C,NA,NA,NA,C,C,NA,NA,S1.2.1.2.1,NA,173.952,19,NA,NA,Plunging,W,6,Low,NA,NA,NA
04/01/0063/A,40,6,SP,6,5,5,NA,NA,NA,N,NA,NA,P,P,NA,NA,NA,NA,C,P,NA,NA,S1.2.1.2.1,NA,160.334,10,NA,NA,Plunging,W,6,Low,NA,NA,NA
04/01/0063/B,40,1,SP,1,8A,3,NA,NA,NA,N,NA,NA,C,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,NA,43.234,21,NA,NA,Plunging,W,6,Low,NA,NA,NA
04/01/0063/C,40,3,SP,3,8D,5,NA,NA,NA,M,NA,NA,C,NA,NA,NA,NA,NA,C,NA,NA,NA,S1.1,S1.2.1.2.1,28.705,17,NA,NA,Plunging,W,6,Low,NA,NA,NA
04/01/0063/D,40,2,SP,2,8D,4,NA,NA,NA,N,NA,NA,C,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.1,81.68,13,NA,NA,Plunging,SW,6,Low,NA,NA,NA
04/01/0064/A,42,6,SP,6,5,5,NA,C,NA,NA,NA,NA,P,NA,P,NA,NA,NA,C,NA,NA,NA,S1.2.1.2.1,NA,112.4,8,NA,NA,Plunging,W,6,Low,NA,NA,NA
04/01/0064/B,42,1,SP,1,8D,3,NA,NA,NA,M,NA,NA,C,NA,P,NA,NA,NA,C,C,NA,NA,S1.1,NA,101.178,41,NA,NA,Surging,W,6,Low,NA,NA,NA
04/01/0064/C,42,6,SP,6,5,5,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,NA,NA,NA,S1.2.1.2.1,NA,38.966,9,NA,NA,Plunging,W,6,Low,NA,NA,NA
04/01/0064/D,42,3,SP,3,8A,5,NA,NA,NA,M,NA,NA,C,P,NA,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,79.887,13,NA,NA,Plunging,W,6,Low,NA,NA,NA
04/01/0065/A,40,2,SP,2,8D,4,NA,NA,NA,M,NA,NA,C,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.1,109.363,18,NA,NA,Plunging,SW,6,Low,NA,NA,NA
04/01/0065/B,40,2,SP,2,8D,4,NA,NA,NA,M,NA,NA,C,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.1,141.557,27,NA,NA,Plunging,SW,6,Low,NA,NA,NA
04/01/0065/C,40,3,SP,3,6B,5,NA,NA,M,NA,NA,NA,P,NA,NA,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,122.998,15,NA,NA,Plunging,SW,6,Low,NA,NA,NA
04/01/0065/D,40,2,SP,2,8D,4,NA,NA,NA,M,NA,NA,C,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.1,135.272,29,NA,NA,Plunging,SW,6,Low,NA,NA,NA
04/01/0065/E,40,6,SP,6,8D,5,NA,NA,NA,M,NA,NA,C,NA,P,NA,NA,NA,C,C,NA,NA,S1.2.1.2.1,NA,81.04,13,NA,NA,Plunging,SW,5.8,Low,NA,NA,NA
04/01/0065/F,40,3,SP,3,8D,5,NA,NA,NA,M,NA,NA,C,P,P,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,299.424,20,NA,NA,Plunging,SW,5.8,Low,NA,NA,NA
04/01/0065/G,40,6,SP,6,6B,5,NA,NA,M,M,NA,NA,C,P,P,NA,NA,NA,C,C,NA,NA,S1.2.1.2.1,NA,125.569,15,NA,NA,Plunging,SW,5.8,Low,NA,NA,NA
04/01/0065/H,40,3,SP,3,8D,5,NA,NA,NA,M,NA,NA,C,NA,P,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,72.303,16,NA,NA,Plunging,SW,5.8,Low,NA,NA,NA
04/01/0065/I,40,3,SP,3,8D,5,NA,NA,NA,N,NA,NA,C,NA,NA,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,155.35,20,NA,NA,Plunging,SW,5.8,Low,NA,NA,NA
04/01/0066/A,40,3,SP,3,8D,4,NA,NA,NA,M,NA,NA,C,C,P,NA,NA,NA,P,C,NA,NA,S1.1,S1.2.1.2.1,119.894,11,NA,NA,Plunging,NW,5.4,Low,NA,NA,NA
04/01/0066/B,40,1,SP,1,1A,2,NA,NA,NA,M,NA,NA,C,C,P,NA,NA,NA,C,C,NA,NA,S1.1,NA,83.92,20,NA,NA,Plunging,NW,5.4,Low,NA,NA,NA
04/01/0067/A,40,1,SP,1,1A,2,NA,NA,NA,M,NA,NA,C,C,NA,NA,NA,NA,P,C,NA,NA,S1.1,NA,147.259,70,NA,NA,Surging,W,5.4,Low,NA,NA,NA
04/01/0067/B,40,2,SP,2,8D,4,NA,NA,NA,M,NA,NA,C,P,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.1,135.676,47,NA,NA,Surging,SW,5.4,Low,NA,NA,NA
04/01/0068/A,40,2,SP,2,6B,4,NA,NA,NA,M,NA,NA,C,P,P,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.1,95.515,24,NA,NA,Plunging,S,5.4,Low,NA,NA,NA
04/01/0069/A,42,3,SP,3,8D,5,NA,NA,M,M,NA,NA,P,C,NA,NA,NA,NA,NA,C,NA,NA,S1.1,S1.2.1.2.1,117.122,15,NA,NA,Plunging,S,5.4,Low,NA,NA,NA
04/01/0070/A,40,2,SP,2,8A,4,NA,NA,NA,M,NA,NA,C,C,P,NA,NA,NA,P,C,NA,NA,S1.1,S1.2.1.1,91.051,38,NA,NA,Collapsing,SW,5.4,Low,NA,NA,NA
04/01/0070/B,40,2,SP,2,6B,4,NA,NA,NA,M,NA,NA,C,P,C,NA,NA,NA,P,C,NA,NA,S1.1,S1.2.1.1,90.66,17,NA,NA,Plunging,E,5.4,Low,NA,NA,NA
04/01/0071/A,40,6,SP,6,8D,5,NA,NA,NA,M,NA,NA,C,C,P,NA,NA,NA,C,C,NA,NA,S1.2.1.2.1,NA,193.775,19,NA,NA,Plunging,NE,5.4,Low,NA,NA,NA
04/01/0072/A,40,1,SP,1,8A,3,NA,NA,NA,M,NA,NA,P,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,NA,121.002,49,NA,NA,Surging,W,5.8,Low,NA,NA,NA
04/01/0072/B,40,2,SP,2,8D,4,NA,NA,NA,M,NA,NA,NA,C,C,NA,NA,P,C,C,NA,NA,S1.1,S1.2.1.1,87.495,16,NA,NA,Plunging,E,5.8,Low,NA,NA,NA
04/01/0073/A,40,2,SP,2,8D,4,NA,NA,NA,N,NA,NA,C,P,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.1,86.645,47,NA,NA,Surging,NE,5.4,Low,NA,NA,NA
04/01/0073/B,40,1,SP,1,8A,3,NA,NA,NA,M,NA,NA,C,P,C,NA,NA,NA,C,C,NA,NA,S1.1,NA,92.924,61,NA,NA,Surging,NE,5.4,Low,NA,NA,NA
04/01/0074/A,40,1,SP,1,8A,3,NA,NA,NA,M,M,NA,C,P,C,NA,NA,NA,C,C,NA,NA,S1.1,NA,123.72,55,NA,NA,Surging,W,5.8,Low,NA,NA,NA
04/01/0075/A,40,6,SP,6,8D,5,NA,NA,NA,N,NA,NA,NA,C,C,NA,NA,NA,C,P,NA,NA,S1.2.1.2.1,NA,238.457,11,NA,NA,Plunging,SW,5.8,Low,NA,NA,NA
04/01/0075/B,40,3,SP,3,8D,5,NA,NA,NA,N,NA,NA,C,P,C,NA,NA,C,C,C,NA,NA,S1.1,S1.2.1.2.1,47.022,10,NA,NA,Plunging,SW,5.8,Low,NA,NA,NA
04/01/0076/A,42,6,SP,6,6B,5,NA,NA,N,NA,NA,NA,NA,NA,P,C,NA,C,C,C,NA,NA,S1.2.1.2.1,NA,145.916,13,NA,NA,Plunging,SW,5.8,Low,NA,NA,NA
04/01/0076/B,42,6,SP,6,5,5,NA,C,NA,NA,NA,NA,NA,C,C,NA,NA,NA,C,C,NA,NA,S1.2.1.2.1,NA,194.335,8,NA,NA,Plunging,W,5.8,Low,NA,NA,NA
04/01/0076/C,42,3,SP,3,8D,5,NA,C,NA,NA,NA,NA,NA,C,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.2.1,49.772,4,NA,NA,Spilling,W,5.8,Low,NA,NA,NA
04/01/0077/A,40,2,SP,2,8D,4,NA,NA,NA,N,NA,NA,C,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.1,69.235,40,NA,NA,Collapsing,SW,5.8,Low,NA,NA,NA
04/01/0077/B,40,5,SP,5,8D,4,NA,NA,NA,N,NA,NA,C,NA,C,NA,NA,NA,C,C,NA,NA,S1.2.1.1,NA,182.366,40,NA,NA,Collapsing,SW,5.8,Low,NA,NA,NA
04/01/0077/C,40,6,SP,6,6B,5,NA,P,N,N,NA,NA,C,C,C,NA,NA,NA,C,C,NA,NA,S1.2.1.2.1,NA,185.742,20,NA,NA,Plunging,SW,5.8,Low,NA,NA,NA
04/01/0077/D,40,1,SP,1,8A,3,NA,NA,NA,N,NA,NA,NA,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,NA,66.643,63,NA,NA,Surging,SW,5.8,Low,NA,NA,NA
04/01/0077/E,40,2,SP,2,8D,4,NA,NA,NA,N,NA,NA,C,NA,C,NA,NA,NA,C,C,NA,NA,S1.1,S1.2.1.1,95.439,44,NA,NA,Surging,SW,5.8,Low,NA,NA,NA
